
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 32, G: 32, B: 32
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: , G: , B: 
R: 255, G: 100, B: 0
R: , G: , B: 
R: , G: , B: 
R: , G: , B: 
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 255, G: 100, B: 0
R: 543, G: , B: 
R: 543, G: , B: 
R: 443, G: , B: 
R: 42, G: 42, B: 42
R: 42, G: 42, B: 42
R: 42, G: 42, B: 42
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 443, G: , B: 
R: 213, G: , B: 
